Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
b'mu1',0.21520074989449817,0.08870382613859945,243.0,2.4260593850624623,0.015992629919414414,0.05,0.040474224390299296,0.38992727539869704,-0.003334206873872189
b'mu2',0.24745591458992486,0.14652953202618105,243.0,1.6887784405515665,0.09254463774485555,0.05,-0.04117420576910988,0.5360860349489596,0.005760255938021874
b'mu3',-0.04580378664940073,0.07536665876461662,243.0,-0.6077460166099977,0.543923481760638,0.05,-0.19425910135280727,0.1026515280540058,0.0018319039026056805
b'mu4',0.043898191197379505,0.04237656613030054,243.0,1.0359072290661833,0.3012751865741409,0.05,-0.03957408373219473,0.12737046612695374,0.010452658152001637
b'gamma1',0.4685319979431114,0.07818245060889463,243.0,5.9928026596010495,7.397881179830641e-09,0.05,0.3145302085619946,0.6225337873242283,0.0032368879520328457
b'gamma2',0.3605168714006852,0.13246161687525093,243.0,2.7216704725883805,0.006965401585400604,0.05,0.09959737010298864,0.6214363726983818,0.004696948778386223
b'gamma3',0.4574684064508952,0.0643935111434659,243.0,7.104262499860829,1.3331289122815234e-11,0.05,0.3306277169688693,0.5843090959329211,-0.0013265531205379766
b'gamma4',0.924356331458976,0.02079273769373228,243.0,44.455729931975824,1.0454108512777076e-118,0.05,0.8833993291390376,0.9653133337789144,0.02233444353464409
b'err1',1.0385267315042563,0.05921492086920384,243.0,17.538260902149876,4.7227284555817444e-45,0.05,0.9218866965488778,1.1551667664596348,-0.0007586107136638431
b'err2',1.0860114569251544,0.10079677114049024,243.0,10.774268308768294,2.2129993069010566e-22,0.05,0.8874645579909273,1.2845583558593816,0.007860120987269292
b'err3',1.110403115242149,0.04971805066465256,243.0,22.33400345342982,8.031079625715645e-61,0.05,1.0124697720523868,1.2083364584319112,0.002669958225606228
b'err4',0.21981039047614595,0.022046242828069374,243.0,9.97042408497299,7.531602724314512e-20,0.05,0.1763842658380544,0.2632365151142375,-0.0022016352245910475
