Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
b'mu1',0.1324407406363178,0.021942970065698723,4556.0,6.035679775334941,1.7085797867424848e-09,0.05,0.08942188108773041,0.1754596001849052,-0.09603797312403639
b'mu2',0.09280172406113389,0.031094662891088098,4556.0,2.984490437673514,0.002855596106076488,0.05,0.03184110972235675,0.15376233839991105,-0.1912834005622897
b'mu3',0.0001074807246473885,0.018354467245249025,4556.0,0.005855834615696047,0.995328003059592,0.05,-0.03587617354587458,0.03609113499516936,-0.11792115771297473
b'mu4',0.10506114700843365,0.01839402666161356,4556.0,5.711699180456526,1.1896608726772251e-08,0.05,0.0689999371029491,0.1411223569139182,-0.12421342966616891
b'mu5',-0.005867179054701574,0.016554338525073566,4556.0,-0.3544194197681179,0.7230409856421134,0.05,-0.03832170830929601,0.02658735019989286,0.10916768219966695
b'mu6',-0.0227397289534564,0.020587530936997615,4556.0,-1.1045389086746238,0.26941776423252706,0.05,-0.06310127067634971,0.017621812769436914,-0.06408223344791208
b'mu7',-0.05440456733167613,0.025144391691782227,4556.0,-2.16368596220432,0.030540274986245453,0.05,-0.1036997653556818,-0.005109369307670461,-0.02326887275523412
b'gamma1',0.4725702265894747,0.02078748203719954,4556.0,22.73340396608894,1.843345030484364e-108,0.05,0.4318166837714507,0.5133237694074986,0.10153717235525916
b'gamma2',0.35495663140452777,0.027950169358510243,4556.0,12.699623635606018,2.4380871613735602e-36,0.05,0.300160748878463,0.40975251393059253,0.21748761285482082
b'gamma3',0.6170337397211747,0.01766892676933695,4556.0,34.92197051786919,5.68914990554734e-237,0.05,0.5823940771418338,0.6516734023005156,0.35936018021695615
b'gamma4',0.7393274859069316,0.016843106694819907,4556.0,43.89495948121682,0.0,0.05,0.7063068310412998,0.7723481407725635,0.2686467284056236
b'gamma5',0.6579574797553921,0.01616922184037015,4556.0,40.69196936321643,0.0,0.05,0.6262579659120875,0.6896569935986967,-0.19740380780024658
b'gamma6',0.5110629191986731,0.019427488203889894,4556.0,26.30617575649048,4.139050444167386e-142,0.05,0.47297562363555234,0.5491502147617938,-0.08721373870936994
b'gamma7',0.2879967595136456,0.02312353967837458,4556.0,12.454700427330499,4.875760782722599e-35,0.05,0.24266341116965023,0.333330107857641,0.11735473671603248
b'err1',0.9606171703537926,0.01507633253084391,4556.0,63.71689987525244,0.0,0.05,0.9310602494032412,0.990174091304344,0.01591771250005089
b'err2',0.9575939528472035,0.021744495942271427,4556.0,44.03845255321073,0.0,0.05,0.9149641988032121,1.000223706891195,-0.018215168371247037
b'err3',0.8607623484903931,0.012715564933448572,4556.0,67.69359859318078,0.0,0.05,0.8358336765596934,0.8856910204210928,0.6372439512757668
b'err4',0.7012751238286106,0.014899824025198061,4556.0,47.06600042004782,0.0,0.05,0.6720642451226038,0.7304860025346174,0.08756991823971458
b'err5',0.7389824927399334,0.012732717837091564,4556.0,58.03807970889061,0.0,0.05,0.7140201928021563,0.7639447926777105,-0.6736290180975806
b'err6',0.9267741494761568,0.014201275255947617,4556.0,65.2599243922137,0.0,0.05,0.8989327650228537,0.9546155339294599,-0.4420001622444457
b'err7',1.0237413234836765,0.017407321022835362,4556.0,58.81096362505792,0.0,0.05,0.9896145349971389,1.0578681119702142,-0.10460913149318413
